seed,target,n_pos,rate,auc_peer_stress,auc_exposure
42,propagation_vulnerability,17,0.00038636363636363635,0.7260365301567049,0.5492483058293913
42,rh_stress_1w,18,0.0004090909090909091,0.5191170377780809,0.07815697330726207
42,rh_stress_2w,18,0.0004090909090909091,0.5191170377780809,0.07815697330726207
42,rh_stress_4w,20,0.00045454545454545455,0.5648732378353797,0.10428149158708504
42,rh_stress_8w,24,0.0005454545454545455,0.6330711638166272,0.21852828815717665
42,rh_stress_12w,28,0.0006363636363636364,0.681432421281075,0.3189952047406791
42,rh_persistent_4of12,240,0.005454545454545455,0.10373324192565508,0.10426207343083485
101,propagation_vulnerability,20,0.00045454545454545455,0.6205292178262847,0.390112551159618
101,rh_stress_1w,18,0.0004090909090909091,0.5928125899989389,0.07782729298349325
101,rh_stress_2w,18,0.0004090909090909091,0.5928125899989389,0.07782729298349325
101,rh_stress_4w,20,0.00045454545454545455,0.6262681900864029,0.09823669849931788
101,rh_stress_8w,20,0.00045454545454545455,0.6262681900864029,0.09823669849931788
101,rh_stress_12w,20,0.00045454545454545455,0.6262681900864029,0.09823669849931788
101,rh_persistent_4of12,252,0.0057272727272727275,0.07255079960117905,0.07719908465656843
202,propagation_vulnerability,23,0.0005227272727272727,0.8367501391537672,0.5674062825330632
202,rh_stress_1w,19,0.0004318181818181818,0.565562401946295,0.0787385461904004
202,rh_stress_2w,19,0.0004318181818181818,0.565562401946295,0.0787385461904004
202,rh_stress_4w,27,0.0006136363636363636,0.6904316706126907,0.22052589509892856
202,rh_stress_8w,43,0.0009772727272727272,0.7979978848250748,0.44765100777662736
202,rh_stress_12w,63,0.0014318181818181819,0.8539570185449513,0.5981385324080547
202,rh_persistent_4of12,244,0.005545454545454545,0.230713979834522,0.2113438494243038
303,propagation_vulnerability,11,0.00025,0.48768700439572704,0.41194596169703585
303,rh_stress_1w,18,0.0004090909090909091,0.4760931239547492,0.07881633395479969
303,rh_stress_2w,18,0.0004090909090909091,0.4760931239547492,0.07881633395479969
303,rh_stress_4w,18,0.0004090909090909091,0.4760931239547492,0.07881633395479969
303,rh_stress_8w,18,0.0004090909090909091,0.4760931239547492,0.07881633395479969
303,rh_stress_12w,22,0.0005,0.5632692379247475,0.23146593958136094
303,rh_persistent_4of12,234,0.005318181818181818,0.08111929566369086,0.09116246034173192
404,propagation_vulnerability,4,9.09090909090909e-05,0.9492965269569961,0.6755642558414401
404,rh_stress_1w,17,0.00038636363636363635,0.45212655691838155,0.07945115158129278
404,rh_stress_2w,17,0.00038636363636363635,0.45212655691838155,0.07945115158129278
404,rh_stress_4w,19,0.0004318181818181818,0.5040047197414195,0.11526568290852868
404,rh_stress_8w,23,0.0005227272727272727,0.579233611245404,0.24796608108388674
404,rh_stress_12w,27,0.0006136363636363636,0.6314026031125161,0.3460705264425729
404,rh_persistent_4of12,230,0.005227272727272727,0.06591272561114919,0.07740461503312772
505,propagation_vulnerability,15,0.00034090909090909094,0.9531340229623735,0.5845121442916146
505,rh_stress_1w,19,0.0004318181818181818,0.5889080093198139,0.07784043109524567
505,rh_stress_2w,19,0.0004318181818181818,0.5889080093198139,0.07784043109524567
505,rh_stress_4w,23,0.0005227272727272727,0.6586016801272602,0.18862280777204685
505,rh_stress_8w,33,0.00075,0.7570970927920458,0.40036122132922003
505,rh_stress_12w,45,0.0010227272727272728,0.8160995462531124,0.5386936134177631
505,rh_persistent_4of12,236,0.005363636363636364,0.12776608821738786,0.12882754032026944
606,propagation_vulnerability,17,0.00038636363636363635,0.30097992406156926,0.15355130525029057
606,rh_stress_1w,23,0.0005227272727272727,0.5176238369661612,0.08023512290515497
606,rh_stress_2w,23,0.0005227272727272727,0.5176238369661612,0.08023512290515497
606,rh_stress_4w,27,0.0006136363636363636,0.5875806787161482,0.16406490177895358
606,rh_stress_8w,35,0.0007954545454545455,0.6791356761059935,0.33366704034053063
606,rh_stress_12w,43,0.0009772727272727272,0.7365400965319702,0.4415935552238948
606,rh_persistent_4of12,270,0.006136363636363636,0.13405666929220553,0.13574315454260572
707,propagation_vulnerability,19,0.0004318181818181818,0.5362740369944438,0.3881724045909777
707,rh_stress_1w,19,0.0004318181818181818,0.506071401645926,0.08010277165139493
707,rh_stress_2w,19,0.0004318181818181818,0.506071401645926,0.08010277165139493
707,rh_stress_4w,22,0.0005,0.5655978815854208,0.14522137101608656
707,rh_stress_8w,24,0.0005454545454545455,0.5979805272572919,0.20879854920865926
707,rh_stress_12w,24,0.0005454545454545455,0.5979805272572919,0.20879854920865926
707,rh_persistent_4of12,255,0.0057954545454545455,0.08299660017167228,0.09001848950804461
808,propagation_vulnerability,4,9.09090909090909e-05,0.5327643422129285,0.13288423947631603
808,rh_stress_1w,10,0.00022727272727272727,0.48473175721754946,0.07519890884291884
808,rh_stress_2w,10,0.00022727272727272727,0.48473175721754946,0.07519890884291884
808,rh_stress_4w,10,0.00022727272727272727,0.48473175721754946,0.07519890884291884
808,rh_stress_8w,10,0.00022727272727272727,0.48473175721754946,0.07519890884291884
808,rh_stress_12w,10,0.00022727272727272727,0.48473175721754946,0.07519890884291884
808,rh_persistent_4of12,180,0.004090909090909091,0.06640803286170699,0.07355089000456412
909,propagation_vulnerability,23,0.0005227272727272727,0.7540067881333227,0.5166979577269145
909,rh_stress_1w,21,0.0004772727272727273,0.578716681879555,0.07979944973737466
909,rh_stress_2w,21,0.0004772727272727273,0.578716681879555,0.07979944973737466
909,rh_stress_4w,25,0.0005681818181818182,0.6422371802160318,0.17759317794201251
